token,consensus,current_definition,proposed_definition,family,domain,primary_model,primary_signal,primary_token_delta,primary_bare_token_delta,primary_lexical_query_delta,primary_family_delta,primary_current_family_rank,primary_proposed_family_rank,secondary_model,secondary_signal,secondary_token_delta,secondary_bare_token_delta,secondary_lexical_query_delta,secondary_family_delta,secondary_current_family_rank,secondary_proposed_family_rank,reviewer_decision,reviewer_notes
amount,supported_by_both,"A term statistically associated with money, garlic, monthly, tax. Selected corpus use: data pipeline; alternative contexts: small project, purchase decision.",A quantity or total of something.,troubleshooting,data_pipeline,mixedbread-ai/mxbai-embed-large-v1,improved,0.1922844648361206,0.20593386888504028,0.17863506078720093,-0.12454652786254883,6,11,sentence-transformers/all-MiniLM-L6-v2,improved,0.2498830109834671,0.20838305354118347,0.29138296842575073,-0.3896535634994507,6,11,accepted,Accepted by operator.
announcement,supported_by_both,"A term statistically associated with marketing, announced, reasons, nothing. Selected corpus use: web form; alternative contexts: subscriptions, learning plan.",A public or formal statement that communicates news.,troubleshooting,web_form,mixedbread-ai/mxbai-embed-large-v1,improved,0.11713698506355286,0.11378109455108643,0.12049287557601929,-0.1949055790901184,9,12,sentence-transformers/all-MiniLM-L6-v2,improved,0.22222168743610382,0.1660902202129364,0.27835315465927124,-0.28599482774734497,9,4,accepted,Accepted by operator.
apples,supported_by_both,"A term statistically associated with oranges, fruits, strawberries, fruit. Selected corpus use: project update; alternative contexts: receipt, subscriptions.",Round fruits produced by apple trees.,summarization_synthesis,project_update,mixedbread-ai/mxbai-embed-large-v1,improved,0.09877091646194458,0.16412371397018433,0.033418118953704834,-0.3913623094558716,7,9,sentence-transformers/all-MiniLM-L6-v2,improved,0.12182539701461792,0.1587875485420227,0.08486324548721313,-0.5344050601124763,6,2,accepted,Accepted by operator.
besides,supported_by_both,"A term statistically associated with argue, concern, lonely, lots. Selected corpus use: course enrolment; alternative contexts: small project, event plan.","In addition to, or apart from, what was already mentioned.",practical_action,course_enrolment,mixedbread-ai/mxbai-embed-large-v1,improved,0.1906733512878418,0.2458297610282898,0.1355169415473938,-0.2564169764518738,11,9,sentence-transformers/all-MiniLM-L6-v2,improved,0.23290075361728668,0.23410648107528687,0.2316950261592865,-0.32885581254959106,10,14,accepted,Accepted by operator.
blockchain,supported_by_both,"A term statistically associated with transactions, blocks, digital, applications. Selected corpus use: project update; alternative contexts: logical constraints, event plan.",A distributed ledger whose records are linked in cryptographically secured blocks.,summarization_synthesis,project_update,mixedbread-ai/mxbai-embed-large-v1,improved,0.08450740575790405,0.13333773612976074,0.03567707538604736,-0.33801960945129395,8,6,sentence-transformers/all-MiniLM-L6-v2,improved,0.23835435509681702,0.3276726305484772,0.14903607964515686,-0.6256594583392143,2,8,accepted,Accepted by operator.
bomb,supported_by_both,"A term statistically associated with atomic, nuclear, explosion, injured. Selected corpus use: unit conversion; alternative contexts: small project, network connection.",An explosive weapon or device.,reasoning_verification,unit_conversion,mixedbread-ai/mxbai-embed-large-v1,improved,0.0857839286327362,0.14563995599746704,0.02592790126800537,-0.3067312240600586,4,14,sentence-transformers/all-MiniLM-L6-v2,improved,0.10852751135826111,0.17288202047348022,0.04417300224304199,-0.4051813334226608,7,10,accepted,Accepted by operator.
boring,supported_by_both,"A term statistically associated with coffee, bet, company, day. Selected corpus use: event registration; alternative contexts: email, technical explanation.",Not interesting or engaging; likely to cause weariness.,practical_action,event_registration,mixedbread-ai/mxbai-embed-large-v1,improved,0.20596669614315033,0.2892058193683624,0.12272757291793823,-0.3063998818397522,4,8,sentence-transformers/all-MiniLM-L6-v2,improved,0.3227074667811394,0.3824019283056259,0.26301300525665283,-0.4058307409286499,6,7,accepted,Accepted by operator.
bought,supported_by_both,"A term statistically associated with store, patent, company, sold. Selected corpus use: feature ideas; alternative contexts: home repair, purchase decision.",Past tense of buy: obtained in exchange for payment.,brainstorming_creativity,feature_ideas,mixedbread-ai/mxbai-embed-large-v1,improved,0.14299696683883667,0.14641016721725464,0.1395837664604187,-0.21460193395614624,8,7,sentence-transformers/all-MiniLM-L6-v2,improved,0.1712847352027893,0.23469030857086182,0.1078791618347168,-0.49560536444187164,8,9,accepted,Accepted by operator.
branch,supported_by_both,"A term statistically associated with executive, laws, branches, mathematics. Selected corpus use: feature ideas; alternative contexts: purchase decision, network connection.","A division extending from a larger organization, structure, or tree.",brainstorming_creativity,feature_ideas,mixedbread-ai/mxbai-embed-large-v1,improved,0.1222994327545166,0.14299273490905762,0.10160613059997559,-0.260824978351593,11,7,sentence-transformers/all-MiniLM-L6-v2,improved,0.04491899907588959,0.041919976472854614,0.04791802167892456,-0.4311247766017914,9,10,accepted,Accepted by operator.
bulk,supported_by_both,"A term statistically associated with buy, disease, single, goods. Selected corpus use: low cost activity; alternative contexts: privacy security, physical safety.","A large mass, volume, or main part of something.",brainstorming_creativity,low_cost_activity,mixedbread-ai/mxbai-embed-large-v1,improved,0.10995769500732422,0.12706077098846436,0.09285461902618408,-0.19279789924621582,3,9,sentence-transformers/all-MiniLM-L6-v2,improved,0.19022031128406525,0.13914555311203003,0.24129506945610046,-0.424526572227478,3,7,accepted,Accepted by operator.
business,supported_by_both,"A term statistically associated with company, management, marketing, customers. Selected corpus use: feature ideas; alternative contexts: financial decision, privacy security.","Commercial activity, an organization, or a matter requiring attention.",brainstorming_creativity,feature_ideas,mixedbread-ai/mxbai-embed-large-v1,improved,0.08651810884475708,0.12153744697570801,0.05149877071380615,-0.15935248136520386,10,3,sentence-transformers/all-MiniLM-L6-v2,improved,0.12417836487293243,0.15443667769432068,0.09392005205154419,-0.144450843334198,9,1,accepted,Accepted by operator.
calculated,supported_by_both,"A term statistically associated with sum, velocity, height, per. Selected corpus use: format preference; alternative contexts: survey response, receipt.",Determined by mathematics or deliberately planned.,context_clarification,format_preference,mixedbread-ai/mxbai-embed-large-v1,improved,0.10325831174850464,0.12309080362319946,0.08342581987380981,-0.24397575855255127,8,10,sentence-transformers/all-MiniLM-L6-v2,improved,0.16239365935325623,0.08211445808410645,0.242672860622406,-0.3106516897678375,8,3,accepted,Accepted by operator.
camel,supported_by_both,"A term statistically associated with desert, beach, animals, wolf. Selected corpus use: peripheral; alternative contexts: relationship tension, loss disappointment.",A large desert-adapted mammal with one or two humps.,troubleshooting,peripheral,mixedbread-ai/mxbai-embed-large-v1,improved,0.06597751379013062,0.14307600259780884,-0.011120975017547607,-0.2872430086135864,3,3,sentence-transformers/all-MiniLM-L6-v2,improved,0.08752414584159851,0.1469731330871582,0.02807515859603882,-0.4718141406774521,3,4,accepted,Accepted by operator.
cameras,supported_by_both,"A term statistically associated with camera, digital, quest, lens. Selected corpus use: project update; alternative contexts: network connection, small project.",Devices used to capture photographs or video.,summarization_synthesis,project_update,mixedbread-ai/mxbai-embed-large-v1,improved,0.11393368244171143,0.2280895709991455,-0.00022220611572265625,-0.3032820224761963,10,7,sentence-transformers/all-MiniLM-L6-v2,improved,0.10500355064868927,0.20930638909339905,0.0007007122039794922,-0.4449247121810913,12,4,accepted,Accepted by operator.
chat,supported_by_both,"A term statistically associated with platform, phone, grab, video. Selected corpus use: account access; alternative contexts: meeting notes, learning plan.",An informal spoken or written conversation.,practical_action,account_access,mixedbread-ai/mxbai-embed-large-v1,improved,0.1306062638759613,0.15905499458312988,0.10215753316879272,-0.17957663536071777,6,10,sentence-transformers/all-MiniLM-L6-v2,improved,0.2993950843811035,0.22871792316436768,0.37007224559783936,-0.3325035572052002,9,11,accepted,Accepted by operator.
circle,supported_by_both,"A term statistically associated with easiest, circular, lines, moon. Selected corpus use: survey response; alternative contexts: network connection, web form.",A round shape whose boundary is equally distant from its center.,extraction_classification,survey_response,mixedbread-ai/mxbai-embed-large-v1,improved,0.047436684370040894,0.08759051561355591,0.007282853126525879,-0.24638056755065918,8,12,sentence-transformers/all-MiniLM-L6-v2,improved,0.0489678829908371,0.07824894785881042,0.01968681812286377,-0.47544829547405243,7,9,accepted,Accepted by operator.
civilization,supported_by_both,"A term statistically associated with ancient, oldest, scholars, earliest. Selected corpus use: event registration; alternative contexts: life science, learning plan.",An organized human society with developed institutions and culture.,practical_action,event_registration,mixedbread-ai/mxbai-embed-large-v1,improved,0.13582074642181396,0.2091892957687378,0.06245219707489014,-0.21851205825805664,12,6,sentence-transformers/all-MiniLM-L6-v2,improved,0.1145438700914383,0.18520885705947876,0.04387888312339783,-0.42925405502319336,12,8,accepted,Accepted by operator.
compound,supported_by_both,"A term statistically associated with eyes, exercises, muscle, interest. Selected corpus use: research notes; alternative contexts: life science, network connection.","A combination of elements, parts, words, or enclosed buildings.",summarization_synthesis,research_notes,mixedbread-ai/mxbai-embed-large-v1,improved,0.12009304761886597,0.12743216753005981,0.11275392770767212,-0.16603690385818481,12,11,sentence-transformers/all-MiniLM-L6-v2,improved,0.18382348120212555,0.15665343403816223,0.21099352836608887,-0.30391669273376465,12,12,accepted,Accepted by operator.
cons,supported_by_both,"A term statistically associated with pros, versus, owning, bigger. Selected corpus use: project update; alternative contexts: home repair, purchase decision.",Disadvantages; also people who deceive or have been convicted.,writing_transformation,project_update,mixedbread-ai/mxbai-embed-large-v1,improved,0.08392930030822754,0.13840758800506592,0.02945101261138916,-0.29018354415893555,4,14,sentence-transformers/all-MiniLM-L6-v2,improved,0.08221914619207382,0.1045302003622055,0.05990809202194214,-0.35304686427116394,8,14,accepted,Accepted by operator.
constantly,supported_by_both,"A term statistically associated with grants, shoot, calculus, stir. Selected corpus use: technical explanation; alternative contexts: small project, life science.",Continuously or repeatedly over a period of time.,writing_transformation,technical_explanation,mixedbread-ai/mxbai-embed-large-v1,improved,0.2887202352285385,0.318070650100708,0.259369820356369,-0.20466309785842896,4,10,sentence-transformers/all-MiniLM-L6-v2,improved,0.5063627809286118,0.5654111802577972,0.44731438159942627,-0.5130510330200195,2,6,accepted,Accepted by operator.
controlled,supported_by_both,"A term statistically associated with humidity, zones, weapon, assigned. Selected corpus use: support reply; alternative contexts: purchase decision, learning plan.","Regulated, directed, or kept within specified limits.",writing_transformation,support_reply,mixedbread-ai/mxbai-embed-large-v1,improved,0.21978914737701416,0.262587308883667,0.17699098587036133,-0.28505605459213257,6,11,sentence-transformers/all-MiniLM-L6-v2,improved,0.3480948880314827,0.34983454644680023,0.34635522961616516,-0.5246837884187698,1,12,accepted,Accepted by operator.
curiosity,supported_by_both,"A term statistically associated with turned, discovered, exploring, little. Selected corpus use: table comparison; alternative contexts: learning plan, uncertain change.","A desire to know, learn, or investigate.",reasoning_verification,table_comparison,mixedbread-ai/mxbai-embed-large-v1,improved,0.1127379834651947,0.1507377028465271,0.0747382640838623,-0.25924909114837646,6,13,sentence-transformers/all-MiniLM-L6-v2,improved,0.2666666954755783,0.2622928321361542,0.27104055881500244,-0.38825762271881104,10,14,accepted,Accepted by operator.
dairy,supported_by_both,"A term statistically associated with milk, yogurt, products, meat. Selected corpus use: survey response; alternative contexts: purchase decision, feature ideas.",Relating to milk products or the industry that produces them.,extraction_classification,survey_response,mixedbread-ai/mxbai-embed-large-v1,improved,0.036481261253356934,0.0759739875793457,-0.003011465072631836,-0.23815631866455078,5,4,sentence-transformers/all-MiniLM-L6-v2,improved,0.11663147807121277,0.09517174959182739,0.13809120655059814,-0.29652467370033264,2,4,accepted,Accepted by operator.
discovery,supported_by_both,"A term statistically associated with physics, led, theory, cell. Selected corpus use: project update; alternative contexts: learning notes, event plan.",The act or result of finding something previously unknown.,summarization_synthesis,project_update,mixedbread-ai/mxbai-embed-large-v1,improved,0.21209993958473206,0.23480713367462158,0.18939274549484253,-0.2106107473373413,6,5,sentence-transformers/all-MiniLM-L6-v2,improved,0.22453534603118896,0.20303595066070557,0.24603474140167236,-0.3471989035606384,6,4,accepted,Accepted by operator.
distant,supported_by_both,"A term statistically associated with galaxies, lands, past, orbits. Selected corpus use: project update; alternative contexts: learning plan, travel plan.","Far away in space, time, relationship, or manner.",summarization_synthesis,project_update,mixedbread-ai/mxbai-embed-large-v1,improved,0.20647254586219788,0.2491225004196167,0.16382259130477905,-0.23218637704849243,12,11,sentence-transformers/all-MiniLM-L6-v2,improved,0.3180449903011322,0.3406529426574707,0.2954370379447937,-0.24579781293869019,12,13,accepted,Accepted by operator.
documents,supported_by_both,"A term statistically associated with agents, classified, pages, denied. Selected corpus use: writing prompts; alternative contexts: financial decision, privacy security.",Written or digital records that preserve information or evidence.,brainstorming_creativity,writing_prompts,mixedbread-ai/mxbai-embed-large-v1,improved,0.1331474483013153,0.16648727655410767,0.09980762004852295,-0.19864624738693237,8,10,sentence-transformers/all-MiniLM-L6-v2,improved,0.11191520094871521,0.17341884970664978,0.05041155219078064,-0.33945757150650024,7,9,accepted,Accepted by operator.
dose,supported_by_both,"A term statistically associated with daily, vitamin, healthy, soul. Selected corpus use: peripheral; alternative contexts: physical safety, project plan.","A measured amount of medicine, radiation, or another substance.",troubleshooting,peripheral,mixedbread-ai/mxbai-embed-large-v1,improved,0.08203125,0.11339473724365234,0.050667762756347656,-0.15986937284469604,10,6,sentence-transformers/all-MiniLM-L6-v2,improved,0.26564547419548035,0.20948761701583862,0.32180333137512207,-0.28413689136505127,3,8,accepted,Accepted by operator.
drew,supported_by_both,"A term statistically associated with students, inspiration, praise, ship. Selected corpus use: financial decision; alternative contexts: instructions, argument.","Past tense of draw: made, pulled, attracted, or selected.",safety_uncertainty,financial_decision,mixedbread-ai/mxbai-embed-large-v1,improved,0.2514127194881439,0.24949723482131958,0.25332820415496826,-0.21441739797592163,11,14,sentence-transformers/all-MiniLM-L6-v2,improved,0.4657401731237769,0.4875828009098768,0.443897545337677,-0.49377429485321045,11,13,accepted,Accepted by operator.
eagle,supported_by_both,"A term statistically associated with lunar, rays, module, bird. Selected corpus use: appointments; alternative contexts: file sync, network connection.","A large bird of prey with strong wings, talons, and eyesight.",practical_action,appointments,mixedbread-ai/mxbai-embed-large-v1,improved,0.09161996841430664,0.12772750854492188,0.055512428283691406,-0.3597871661186218,4,3,sentence-transformers/all-MiniLM-L6-v2,improved,0.14621862769126892,0.18775230646133423,0.10468494892120361,-0.47793741524219513,8,10,accepted,Accepted by operator.
ease,supported_by_both,"A term statistically associated with comfort, abundant, crisis, greater. Selected corpus use: workflow; alternative contexts: small project, financial decision.","Freedom from difficulty, or the act of making something less difficult.",brainstorming_creativity,workflow,mixedbread-ai/mxbai-embed-large-v1,improved,0.07764160633087158,0.11077594757080078,0.04450726509094238,-0.28580379486083984,10,4,sentence-transformers/all-MiniLM-L6-v2,improved,0.20068733394145966,0.22149962186813354,0.17987504601478577,-0.3948953151702881,2,4,accepted,Accepted by operator.
eat,supported_by_both,"A term statistically associated with foods, food, vegetables, peas. Selected corpus use: achievement; alternative contexts: small project, purchase decision.",To take food into the body by chewing and swallowing it.,conversation_empathy,achievement,mixedbread-ai/mxbai-embed-large-v1,improved,0.1175050139427185,0.1421443223953247,0.0928657054901123,-0.28387802839279175,13,12,sentence-transformers/all-MiniLM-L6-v2,improved,0.13679750263690948,0.2149249017238617,0.058670103549957275,-0.49201804772019386,13,14,accepted,Accepted by operator.
employees,supported_by_both,"A term statistically associated with employers, employer, company, productivity. Selected corpus use: missing reference; alternative contexts: purchase decision, small project.",People paid to work for an organization or employer.,context_clarification,missing_reference,mixedbread-ai/mxbai-embed-large-v1,improved,0.14734399318695068,0.2347049117088318,0.05998307466506958,-0.32310378551483154,9,14,sentence-transformers/all-MiniLM-L6-v2,improved,0.22024573385715485,0.29796507954597473,0.14252638816833496,-0.5498711168766022,7,14,accepted,Accepted by operator.
encounters,supported_by_both,"A term statistically associated with alien, travels, magical, returns. Selected corpus use: data pipeline; alternative contexts: purchase decision, learning plan.",Unexpected meetings or direct experiences with something.,troubleshooting,data_pipeline,mixedbread-ai/mxbai-embed-large-v1,improved,0.15788868069648743,0.21581608057022095,0.0999612808227539,-0.2496228814125061,8,12,sentence-transformers/all-MiniLM-L6-v2,improved,0.18249160051345825,0.20678022503852844,0.15820297598838806,-0.41317933797836304,7,10,accepted,Accepted by operator.
ends,supported_by_both,"A term statistically associated with summer, starts, late, month. Selected corpus use: civics; alternative contexts: small project, purchase decision.","Finishes, final parts, or outermost points.",explanation_learning,civics,mixedbread-ai/mxbai-embed-large-v1,improved,0.169921875,0.22361242771148682,0.11623132228851318,-0.24642062187194824,7,12,sentence-transformers/all-MiniLM-L6-v2,improved,0.2964504063129425,0.3518345206975937,0.24106629192829132,-0.5857235342264175,8,13,accepted,Accepted by operator.
enters,supported_by_both,"A term statistically associated with cycle, rainbow, bottom, light. Selected corpus use: small project; alternative contexts: feature ideas, learning plan.","Goes or comes into a place, system, or state.",planning_comparison,small_project,mixedbread-ai/mxbai-embed-large-v1,improved,0.1689281016588211,0.1996925175189972,0.13816368579864502,-0.2224474549293518,2,4,sentence-transformers/all-MiniLM-L6-v2,improved,0.33876950293779373,0.3289593309164047,0.34857967495918274,-0.29854296147823334,9,6,accepted,Accepted by operator.
eternal,supported_by_both,"A term statistically associated with punishment, soul, happiness, cycle. Selected corpus use: technical explanation; alternative contexts: uncertain change, learning plan.","Continuing without an end, or seeming to last indefinitely.",writing_transformation,technical_explanation,mixedbread-ai/mxbai-embed-large-v1,improved,0.15079855918884277,0.18490993976593018,0.11668717861175537,-0.2453942894935608,9,3,sentence-transformers/all-MiniLM-L6-v2,improved,0.18478824198246002,0.22783899307250977,0.14173749089241028,-0.505653128027916,3,7,accepted,Accepted by operator.
expectations,supported_by_both,"A term statistically associated with realistic, inflation, meet, strategy. Selected corpus use: course enrolment; alternative contexts: learning plan, small project.",Beliefs or standards concerning what is likely or required.,practical_action,course_enrolment,mixedbread-ai/mxbai-embed-large-v1,improved,0.07397785782814026,0.14063549041748047,0.007320225238800049,-0.24968749284744263,8,8,sentence-transformers/all-MiniLM-L6-v2,improved,0.016779974102973938,0.02639290690422058,0.007167041301727295,-0.4621223211288452,7,11,accepted,Accepted by operator.
extensive,supported_by_both,"A term statistically associated with infrastructure, land, projects, cafe. Selected corpus use: research notes; alternative contexts: travel plan, purchase decision.","Covering a large area, amount, range, or degree.",summarization_synthesis,research_notes,mixedbread-ai/mxbai-embed-large-v1,improved,0.12531158328056335,0.16301852464675903,0.08760464191436768,-0.1724606156349182,11,11,sentence-transformers/all-MiniLM-L6-v2,improved,0.06052599847316742,0.04516398906707764,0.0758880078792572,-0.34110569953918457,12,11,accepted,Accepted by operator.
facilities,supported_by_both,"A term statistically associated with accommodate, buildings, production, industrial. Selected corpus use: shopping arithmetic; alternative contexts: physical safety, privacy security.","Buildings, equipment, or services provided for a particular activity.",reasoning_verification,shopping_arithmetic,mixedbread-ai/mxbai-embed-large-v1,improved,0.09896856546401978,0.17395591735839844,0.023981213569641113,-0.24867957830429077,3,12,sentence-transformers/all-MiniLM-L6-v2,improved,0.20942020416259766,0.2803196907043457,0.1385207176208496,-0.4288802146911621,1,11,accepted,Accepted by operator.
failures,supported_by_both,"A term statistically associated with intervention, crisis, equipment, bank. Selected corpus use: personal finance; alternative contexts: peripheral, network connection.",Instances in which an intended result is not achieved.,explanation_learning,personal_finance,mixedbread-ai/mxbai-embed-large-v1,improved,0.14193947613239288,0.2196958363056183,0.06418311595916748,-0.28579920530319214,5,12,sentence-transformers/all-MiniLM-L6-v2,improved,0.12764737010002136,0.1742883324623108,0.08100640773773193,-0.44462940096855164,3,11,accepted,Accepted by operator.
firm,supported_by_both,"A term statistically associated with investment, dough, assets, report. Selected corpus use: support reply; alternative contexts: small project, learning plan.",Solid or stable; also a business organization.,writing_transformation,support_reply,mixedbread-ai/mxbai-embed-large-v1,improved,0.09595611691474915,0.14994239807128906,0.04196983575820923,-0.29567790031433105,2,6,sentence-transformers/all-MiniLM-L6-v2,improved,0.12731647491455078,0.11565631628036499,0.13897663354873657,-0.45655345916748047,4,7,accepted,Accepted by operator.
flexible,supported_by_both,"A term statistically associated with yoga, efficient, accommodate, allow. Selected corpus use: project update; alternative contexts: small project, learning plan.","Able to bend, adapt, or change without breaking.",summarization_synthesis,project_update,mixedbread-ai/mxbai-embed-large-v1,improved,0.0704893171787262,0.13308465480804443,0.007893979549407959,-0.3000316321849823,8,14,sentence-transformers/all-MiniLM-L6-v2,improved,0.2676251381635666,0.35205864906311035,0.18319162726402283,-0.44635698199272156,13,12,accepted,Accepted by operator.
flows,supported_by_both,"A term statistically associated with river, volcanic, cash, ash. Selected corpus use: project update; alternative contexts: learning plan, small project.","Moves continuously, especially as a liquid, current, or sequence.",writing_transformation,project_update,mixedbread-ai/mxbai-embed-large-v1,improved,0.09273526072502136,0.1565442681312561,0.02892625331878662,-0.2668531537055969,3,9,sentence-transformers/all-MiniLM-L6-v2,improved,0.15328409522771835,0.22616590559482574,0.08040228486061096,-0.5651737153530121,5,8,accepted,Accepted by operator.
focusing,supported_by_both,"A term statistically associated with promotes, breathing, meditation, attention. Selected corpus use: learning notes; alternative contexts: life science, learning plan.","Directing attention, effort, or optical clarity toward something.",summarization_synthesis,learning_notes,mixedbread-ai/mxbai-embed-large-v1,improved,0.14868217706680298,0.18933594226837158,0.10802841186523438,-0.19669902324676514,7,13,sentence-transformers/all-MiniLM-L6-v2,improved,0.2107703536748886,0.2391136884689331,0.18242701888084412,-0.2079288363456726,13,13,accepted,Accepted by operator.
functional,supported_by_both,"A term statistically associated with brain, imaging, patients, activities. Selected corpus use: feature ideas; alternative contexts: privacy security, purchase decision.",Working as intended or designed for a practical purpose.,brainstorming_creativity,feature_ideas,mixedbread-ai/mxbai-embed-large-v1,improved,0.12988236546516418,0.17060649394989014,0.08915823698043823,-0.2055525779724121,9,3,sentence-transformers/all-MiniLM-L6-v2,improved,0.17790836840867996,0.18676233291625977,0.16905440390110016,-0.40074601769447327,5,8,accepted,Accepted by operator.
gains,supported_by_both,"A term statistically associated with income, capital, tax, investment. Selected corpus use: support thread; alternative contexts: personal finance, learning plan.","Increases, advantages, or benefits obtained.",summarization_synthesis,support_thread,mixedbread-ai/mxbai-embed-large-v1,improved,0.08496177196502686,0.12325435876846313,0.046669185161590576,-0.23633074760437012,12,11,sentence-transformers/all-MiniLM-L6-v2,improved,0.150150865316391,0.19753563404083252,0.10276609659194946,-0.3292911946773529,13,13,accepted,Accepted by operator.
headphones,supported_by_both,"A term statistically associated with noise, ear, ears, pair. Selected corpus use: project update; alternative contexts: policy memo, research notes.",A pair of small speakers worn over or in the ears.,summarization_synthesis,project_update,mixedbread-ai/mxbai-embed-large-v1,improved,0.08605366945266724,0.1847923994064331,-0.012685060501098633,-0.3471505045890808,4,12,sentence-transformers/all-MiniLM-L6-v2,improved,0.1165359616279602,0.1497938632965088,0.08327805995941162,-0.4647771865129471,5,8,accepted,Accepted by operator.
iconic,supported_by_both,"A term statistically associated with flavored, tower, artists, characters. Selected corpus use: course enrolment; alternative contexts: data pipeline, network connection.",Widely recognized as a representative symbol.,practical_action,course_enrolment,mixedbread-ai/mxbai-embed-large-v1,improved,0.06923434138298035,0.10938113927841187,0.029087543487548828,-0.25884073972702026,8,3,sentence-transformers/all-MiniLM-L6-v2,improved,0.1438116580247879,0.20203045010566711,0.08559286594390869,-0.45808573067188263,10,5,accepted,Accepted by operator.
imaging,supported_by_both,"A term statistically associated with magnetic, medical, brain, tissue. Selected corpus use: low cost activity; alternative contexts: medical information, physical safety.","The creation or processing of visual representations, often for diagnosis.",brainstorming_creativity,low_cost_activity,mixedbread-ai/mxbai-embed-large-v1,improved,0.05930188298225403,0.08011090755462646,0.03849285840988159,-0.14905881881713867,6,6,sentence-transformers/all-MiniLM-L6-v2,improved,0.11752767860889435,0.15465569496154785,0.08039966225624084,-0.2909673601388931,4,6,accepted,Accepted by operator.
implementing,supported_by_both,"A term statistically associated with standards, strategies, ensuring, website. Selected corpus use: event registration; alternative contexts: life science, media literacy.","Putting a plan, decision, or system into effect.",practical_action,event_registration,mixedbread-ai/mxbai-embed-large-v1,improved,0.15551596879959106,0.20628565549850464,0.10474628210067749,-0.26575225591659546,12,5,sentence-transformers/all-MiniLM-L6-v2,improved,0.23999042436480522,0.2674623653292656,0.21251848340034485,-0.3532439172267914,8,8,accepted,Accepted by operator.
indeed,supported_by_both,"A term statistically associated with showed, samples, breakfast, qualities. Selected corpus use: web form; alternative contexts: research notes, incident log.",In fact; used to confirm or emphasize a statement.,troubleshooting,web_form,mixedbread-ai/mxbai-embed-large-v1,improved,0.1995209902524948,0.19453635811805725,0.20450562238693237,-0.19687598943710327,6,10,sentence-transformers/all-MiniLM-L6-v2,improved,0.1905147284269333,0.13818129897117615,0.24284815788269043,-0.3807811141014099,9,7,accepted,Accepted by operator.
instances,supported_by_both,"A term statistically associated with instance, scientific, numerous, earliest. Selected corpus use: research notes; alternative contexts: learning plan, web form.",Individual examples or occurrences of something.,summarization_synthesis,research_notes,mixedbread-ai/mxbai-embed-large-v1,improved,0.09791040420532227,0.13491618633270264,0.060904622077941895,-0.13603216409683228,7,3,sentence-transformers/all-MiniLM-L6-v2,improved,0.14856022596359253,0.18918490409851074,0.10793554782867432,-0.13808834552764893,11,2,accepted,Accepted by operator.
interviews,supported_by_both,"A term statistically associated with says, pitch, weeks, videos. Selected corpus use: account access; alternative contexts: learning plan, purchase decision.",Structured conversations in which questions are asked to obtain information.,practical_action,account_access,mixedbread-ai/mxbai-embed-large-v1,improved,0.16626742482185364,0.23568999767303467,0.09684485197067261,-0.24070847034454346,11,11,sentence-transformers/all-MiniLM-L6-v2,improved,0.1463465318083763,0.1925949901342392,0.10009807348251343,-0.4861413836479187,12,13,accepted,Accepted by operator.
issued,supported_by_both,"A term statistically associated with bonds, governments, bond, government. Selected corpus use: outreach; alternative contexts: privacy security, financial decision.","Officially supplied, published, or sent out.",brainstorming_creativity,outreach,mixedbread-ai/mxbai-embed-large-v1,improved,0.11927992105484009,0.16003239154815674,0.07852745056152344,-0.20265203714370728,9,8,sentence-transformers/all-MiniLM-L6-v2,improved,0.15389256179332733,0.24863901734352112,0.059146106243133545,-0.4496747553348541,9,11,accepted,Accepted by operator.
jelly,supported_by_both,"A term statistically associated with peanut, butter, sandwich, bread. Selected corpus use: small project; alternative contexts: support thread, event plan.",A soft gel-like food or substance.,planning_comparison,small_project,mixedbread-ai/mxbai-embed-large-v1,improved,0.09732547402381897,0.13121169805526733,0.0634392499923706,-0.2601786255836487,9,9,sentence-transformers/all-MiniLM-L6-v2,improved,0.11249904334545135,0.12814486026763916,0.09685322642326355,-0.39195995032787323,11,7,accepted,Accepted by operator.
knowledge,supported_by_both,"A term statistically associated with zero, texts, skills, scientific. Selected corpus use: research notes; alternative contexts: life science, data literacy.","Information, understanding, and skills gained through learning or experience.",summarization_synthesis,research_notes,mixedbread-ai/mxbai-embed-large-v1,improved,0.1515600085258484,0.17012202739715576,0.13299798965454102,-0.1764235496520996,6,7,sentence-transformers/all-MiniLM-L6-v2,improved,0.24309667199850082,0.29583840072155,0.19035494327545166,-0.2915707230567932,14,14,accepted,Accepted by operator.
leg,supported_by_both,"A term statistically associated with squat, press, knee, arm. Selected corpus use: scope boundary; alternative contexts: learning plan, small project.","A limb used for support and movement, or one stage of a journey.",context_clarification,scope_boundary,mixedbread-ai/mxbai-embed-large-v1,improved,0.0669533908367157,0.1112215518951416,0.022685229778289795,-0.2134554386138916,11,4,sentence-transformers/all-MiniLM-L6-v2,improved,0.0835418850183487,0.05356106162071228,0.11352270841598511,-0.28387153148651123,10,12,accepted,Accepted by operator.
